                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0435,                 2.0533,                 1.0863,                 1.1264,                0.96586,                    0.8,                0.88591,                0.66783,                0.96586,                    0.8,                0.88591,                0.57621,                 1.1447,                 2.0324,                 1.4835,                 1.1471,             0.00074745,             0.00074745,             0.00074745
                     69,                0.96995,                 1.8465,                 1.0829,                   1.13,                0.94886,                    0.8,                  0.895,                 0.6469,                0.94886,                    0.8,                  0.895,                0.54777,                 1.1572,                 2.0493,                 1.4821,                 1.2092,             0.00074963,             0.00074963,             0.00074963
                     70,                 1.1389,                 2.3187,                 1.2267,                 1.2156,                0.94886,                    0.8,                  0.895,                 0.6469,                0.94886,                    0.8,                  0.895,                0.54777,                 1.1572,                 2.0493,                 1.4821,                 1.2092,             0.00075155,             0.00075155,             0.00075155
                     71,                0.95391,                 2.1087,                 1.0436,                 1.0484,                0.94886,                    0.8,                  0.895,                 0.6469,                0.94886,                    0.8,                  0.895,                0.54777,                 1.1572,                 2.0493,                 1.4821,                 1.2092,              0.0007532,              0.0007532,              0.0007532
                     72,                0.82389,                 1.8973,                0.93147,                 1.0102,                      1,                0.74792,                   0.92,                0.59915,                      1,                0.74792,                   0.92,                0.58127,                 1.1216,                 2.0304,                 1.4448,                 1.2065,             0.00075459,             0.00075459,             0.00075459
                     73,                0.92579,                  2.088,                0.96985,                 1.0809,                      1,                0.74792,                   0.92,                0.59915,                      1,                0.74792,                   0.92,                0.58127,                 1.1216,                 2.0304,                 1.4448,                 1.2065,             0.00075571,             0.00075571,             0.00075571
                     74,                 1.0239,                 1.7644,                0.92728,                 1.1335,                      1,                0.74792,                   0.92,                0.59915,                      1,                0.74792,                   0.92,                0.58127,                 1.1216,                 2.0304,                 1.4448,                 1.2065,             0.00075657,             0.00075657,             0.00075657
                     75,                0.87449,                 1.8276,                 1.0592,                 1.0502,                      1,                 0.7958,                   0.92,                0.70864,                      1,                 0.7958,                   0.92,                0.59469,                 1.0639,                 2.0148,                 1.3477,                 1.1651,             0.00075717,             0.00075717,             0.00075717
                     76,                 1.1024,                 2.1085,                 1.0043,                 1.0801,                      1,                 0.7958,                   0.92,                0.70864,                      1,                 0.7958,                   0.92,                0.59469,                 1.0639,                 2.0148,                 1.3477,                 1.1651,              0.0007575,              0.0007575,              0.0007575
                     77,                0.90919,                 2.0312,                0.92514,                 1.0325,                      1,                 0.7958,                   0.92,                0.70864,                      1,                 0.7958,                   0.92,                0.59469,                 1.0639,                 2.0148,                 1.3477,                 1.1651,             0.00075757,             0.00075757,             0.00075757
                     78,                 1.0323,                  2.004,                0.99007,                  1.071,                0.96997,                    0.8,                0.96167,                0.73924,                0.96997,                    0.8,                0.96167,                0.62133,                0.95878,                  1.988,                 1.2241,                 1.0657,             0.00075737,             0.00075737,             0.00075737
                     79,                0.97473,                 1.7039,                 1.0889,                 1.0672,                0.96997,                    0.8,                0.96167,                0.73924,                0.96997,                    0.8,                0.96167,                0.62133,                0.95878,                  1.988,                 1.2241,                 1.0657,             0.00075691,             0.00075691,             0.00075691
                     80,                 1.0967,                 2.1758,                  1.118,                 1.1746,                0.96997,                    0.8,                0.96167,                0.73924,                0.96997,                    0.8,                0.96167,                0.62133,                0.95878,                  1.988,                 1.2241,                 1.0657,             0.00075619,             0.00075619,             0.00075619
